系统时间,相对时间(s),扭矩(Nm),转速(rpm),功率(W),Ch1_Temp_C,Ch1_MOS_C,Ch1_Err,Ch1_Pos_rad,Ch1_Spd_rads,Ch1_Cur_A,Ch2_Temp_C,Ch2_MOS_C,Ch2_Err,Ch2_Pos_rad,Ch2_Spd_rads,Ch2_Cur_A,图像.最高温,图像.最低温,图像.平均温,P1.最高温,P2.最高温
2026/03/31 10:25:13.637,52.088,-2.3064,145.94,35.2493,22,29,0,7.5565,15.9868,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.637,52.088,-3.3152,145.94,50.6671,22,29,0,7.5565,15.9868,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.637,52.088,-2.0535,145.94,31.3842,22,29,0,7.5565,15.9868,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.847,52.298,-3.4607,145.94,52.8908,22,29,0,10.7815,15.644,1.033,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
2026/03/31 10:25:13.847,52.298,-3.1416,145.94,48.0139,22,29,0,10.7815,15.644,1.033,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
2026/03/31 10:25:13.847,52.298,-4.1696,145.93,63.7208,22,29,0,10.7815,15.644,1.033,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
2026/03/31 10:25:13.850,52.301,-4.3552,145.93,66.5572,22,29,0,10.7815,15.644,1.033,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
2026/03/31 10:25:14.061,52.512,-3.6696,145.93,56.0797,22,29,0,-12.484,16.1187,0.8864,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
2026/03/31 10:25:14.061,52.512,-2.7952,145.93,42.7169,22,29,0,-12.484,16.1187,0.8864,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
2026/03/31 10:25:14.138,52.589,-2.8352,145.93,43.3282,22,29,0,-9.8495,14.4835,1.37,0,0,0,0.0,0.0,0.0,24.7,18.3,19.7,20.2,24.0
